sat;dt_start_j;pass_elev_max;pass_duration;start_azimuth;middle_azimuth;end_azimuth
O3;2025-09-20 00:01:52; 35.09; 11.71;   191.23;   263.27;   334.86
4B;2025-09-20 00:09:20; 22.55;  9.86;   125.71;    65.62;     5.39
3B;2025-09-20 00:15:28; 11.40;  7.76;   227.81;   271.18;   314.47
4A;2025-09-20 00:34:08; 38.67; 10.88;   142.61;    70.03;   357.55
3A;2025-09-20 00:41:04;  5.33;  3.76;   255.53;   274.89;   294.32
4E;2025-09-20 00:57:20; 67.89; 11.35;   157.60;    74.05;   350.77
4D;2025-09-20 01:15:12; 78.95; 11.43;   168.99;   257.82;   345.55
4B;2025-09-20 01:45:20; 37.92; 10.98;    88.51;    56.93;    25.19
5A;2025-09-20 01:47:28;  7.96;  5.93;   188.33;   262.53;   336.34
5D;2025-09-20 02:09:04; 13.73;  8.32;   108.25;    61.13;    13.96
4A;2025-09-20 02:11:28; 21.28;  9.90;   206.21;   266.69;   327.09
5E;2025-09-20 02:33:20; 23.25;  9.95;   126.77;    65.91;     4.92
4E;2025-09-20 02:36:16; 12.24;  8.07;   225.38;   270.76;   316.07
4D;2025-09-20 02:55:44;  7.24;  5.65;   244.22;   274.15;   303.95
5C;2025-09-20 02:57:36; 39.53; 10.92;   143.27;    70.18;   357.27
SR;2025-09-20 03:22:24; 10.38;  7.88;    93.48;    55.24;    16.97
5A;2025-09-20 03:20:32; 69.02; 11.35;    65.83;    83.82;   101.80
CS;2025-09-20 03:23:44;  5.27;  3.82;   158.05;    74.17;   350.59
5D;2025-09-20 03:43:44; 68.68; 11.39;   172.67;   258.58;   343.86
5E;2025-09-20 04:09:36; 36.56; 10.94;   189.38;   262.81;   335.84
5C;2025-09-20 04:35:12; 20.80;  9.86;   206.98;   266.86;   326.69
SR;2025-09-20 04:58:24; 71.55; 12.82;   157.45;    73.25;   349.41
CS;2025-09-20 04:59:12; 57.71; 12.41;   226.04;   270.90;   315.69
5A;2025-09-20 04:59:28; 12.02;  7.99;    18.69;   100.66;   182.78
5D;2025-09-20 05:24:48;  5.86;  4.37;   252.08;   274.73;   297.42
1B;2025-09-20 05:38:40;  7.50;  5.71;    55.71;    86.81;   117.88
1A;2025-09-20 06:01:20; 14.60;  8.56;    40.33;    90.87;   141.45
1C;2025-09-20 06:26:24; 26.53; 10.18;    29.10;    95.10;   161.44
CS;2025-09-20 06:38:24; 18.93; 10.16;   352.77;   297.98;   243.36
SR;2025-09-20 06:39:44; 14.59;  9.66;   221.16;   270.40;   319.57
1E;2025-09-20 06:48:48; 45.43; 10.91;    21.28;    99.08;   176.96
1B;2025-09-20 07:12:48; 83.94; 11.14;    13.71;   102.27;   192.72
1A;2025-09-20 07:36:48; 54.01; 10.96;     6.58;   287.31;   208.05
2A;2025-09-20 07:43:12;  6.84;  5.35;    57.91;    85.99;   114.04
MB;2025-09-20 07:55:28; 15.74; 10.25;    38.86;    89.85;   140.89
2E;2025-09-20 07:58:24; 11.71;  7.81;    44.92;    89.11;   133.30
1C;2025-09-20 08:02:40; 29.55; 10.25;   358.73;   291.57;   224.90
2B;2025-09-20 08:07:28; 14.20;  8.65;    40.84;    90.37;   139.92
1E;2025-09-20 08:25:36; 18.44;  9.13;   351.20;   295.81;   240.60
MC;2025-09-20 08:44:32; 22.97; 11.60;    32.11;    93.17;   154.26
1B;2025-09-20 08:50:24; 10.90;  7.28;   341.38;   300.28;   259.36
2C;2025-09-20 08:54:40; 42.91; 11.13;    22.03;    98.73;   175.19
2D;2025-09-20 09:02:08; 53.16; 11.22;    19.23;    99.84;   180.82
1A;2025-09-20 09:15:28;  5.65;  3.92;   325.58;   304.87;   284.23
2A;2025-09-20 09:17:36; 75.91; 11.43;    14.98;   102.05;   190.00
2E;2025-09-20 09:33:36; 69.11; 11.25;     9.37;   285.72;   201.79
MB;2025-09-20 09:34:40; 70.21; 13.23;    10.44;   287.10;   203.39
2B;2025-09-20 09:43:12; 58.61; 11.28;     7.55;   286.91;   206.22
3D;2025-09-20 10:05:20;  6.71;  5.25;    58.40;    85.93;   113.42
MC;2025-09-20 10:24:00; 48.64; 12.92;     6.38;   290.18;   214.10
3B;2025-09-20 10:28:16; 13.57;  8.49;    63.47;    84.29;   105.10
O3;2025-09-20 10:29:20;  5.67;  4.35;    41.82;    90.07;   138.34
2C;2025-09-20 10:32:00; 20.31;  9.60;   352.95;   295.35;   237.90
2D;2025-09-20 10:39:28; 16.78;  8.99;   349.57;   296.87;   244.33
3A;2025-09-20 10:50:56; 23.21; 10.14;    31.31;    93.83;   156.74
2A;2025-09-20 10:55:28; 12.58;  8.00;   344.40;   299.57;   254.93
2E;2025-09-20 11:12:00;  7.79;  5.77;   334.03;   303.05;   272.17
3E;2025-09-20 11:14:40; 40.43; 11.09;    22.83;    98.53;   173.62
MB;2025-09-20 11:16:16; 10.71;  8.25;   343.98;   305.07;   266.36
2B;2025-09-20 11:22:08;  6.60;  4.94;   330.30;   304.54;   278.87
3D;2025-09-20 11:39:28; 75.06; 11.42;    15.13;   102.01;   189.71
3B;2025-09-20 12:03:44; 61.29; 11.32;     8.09;   286.63;   205.07
O3;2025-09-20 12:04:32; 60.94; 12.31;    18.02;   101.34;   184.33
MC;2025-09-20 12:06:24;  7.00;  5.84;   335.46;   309.00;   282.62
4A;2025-09-20 12:27:12;  6.35;  4.97;    59.78;    85.61;   111.40
3A;2025-09-20 12:27:28; 35.41; 10.77;     1.32;   290.50;   219.96
4E;2025-09-20 12:49:20; 12.84;  8.27;    42.93;    89.63;   136.34
3E;2025-09-20 12:52:00; 21.32;  9.74;   353.76;   294.91;   236.22
4D;2025-09-20 13:06:40; 19.61;  9.71;    34.42;    92.79;   151.10
3D;2025-09-20 13:17:20; 12.70;  8.02;   344.58;   299.50;   254.59
4B;2025-09-20 13:36:00; 38.52; 11.03;    23.45;    97.63;   172.12
3B;2025-09-20 13:42:40;  6.96;  5.23;   331.64;   304.20;   276.86
O3;2025-09-20 13:43:44; 17.67;  9.83;   351.53;   298.40;   245.44
4A;2025-09-20 14:01:20; 72.31; 11.43;    15.53;   101.73;   188.68
4E;2025-09-20 14:25:04; 64.80; 11.36;     8.69;   286.24;   203.60
CS;2025-09-20 14:36:48; 11.83;  8.34;    99.46;    57.38;    15.25
4D;2025-09-20 14:42:56; 42.02; 11.03;     3.54;   289.51;   215.03
5C;2025-09-20 14:50:24;  6.60;  5.18;    58.78;    85.77;   112.73
5A;2025-09-20 15:12:32; 13.07;  8.35;    42.54;    89.74;   136.96
4B;2025-09-20 15:13:04; 22.24;  9.86;   354.39;   294.50;   234.75
5D;2025-09-20 15:34:56; 22.31; 10.08;    31.91;    93.44;   155.37
4A;2025-09-20 15:39:12; 13.14;  8.18;   345.17;   299.16;   253.32
5E;2025-09-20 16:00:00; 39.99; 11.06;    22.92;    97.88;   173.15
4E;2025-09-20 16:03:44;  7.43;  5.58;   333.16;   303.72;   274.38
CS;2025-09-20 16:12:32; 84.97; 12.55;   162.85;    74.14;   347.55
5C;2025-09-20 16:24:48; 74.18; 11.43;    15.21;   101.88;   189.34
1B;2025-09-20 16:36:16;  8.99;  6.43;    93.53;    58.21;    22.74
5A;2025-09-20 16:48:00; 63.62; 11.35;     8.46;   286.33;   204.05
1A;2025-09-20 16:58:56; 15.53;  8.62;   113.32;    62.62;    11.82
SR;2025-09-20 17:09:04; 22.41; 11.20;    32.44;    93.14;   153.85
5D;2025-09-20 17:11:28; 36.84; 10.85;     1.79;   290.18;   218.75
1C;2025-09-20 17:23:44; 26.63; 10.10;   131.84;    67.46;     2.77
5E;2025-09-20 17:37:20; 21.52;  9.78;   353.85;   294.76;   235.84
1E;2025-09-20 17:45:36; 44.15; 10.84;   146.66;    70.78;   355.80
CS;2025-09-20 17:53:52; 11.30;  8.37;   229.81;   272.12;   314.36
5C;2025-09-20 18:02:40; 12.83;  8.09;   344.71;   299.34;   254.15
1B;2025-09-20 18:09:36; 80.59; 11.17;   162.21;    74.94;   348.66
2D;2025-09-20 18:29:20;  5.88;  4.24;    76.66;    54.72;    32.79
5A;2025-09-20 18:26:56;  7.26;  5.47;    70.19;    49.47;    28.75
MC;2025-09-20 18:32:48;  5.84;  4.67;   332.60;   303.85;   275.18
1A;2025-09-20 18:33:36; 56.04; 11.05;   177.64;   259.61;   341.36
2A;2025-09-20 18:44:00;  9.25;  6.69;    93.81;    57.89;    21.84
SR;2025-09-20 18:48:00; 47.00; 12.50;     5.73;   290.01;   214.43
2E;2025-09-20 18:57:36; 13.23;  8.14;   107.28;    61.07;    14.80
1C;2025-09-20 18:59:44; 29.67; 10.41;   195.12;   264.13;   332.69
2B;2025-09-20 19:08:16; 16.36;  8.97;   114.49;    62.67;    10.74
MB;2025-09-20 19:18:40; 30.10; 12.12;   131.04;    65.65;   359.73
1E;2025-09-20 19:22:56; 17.73;  9.22;   211.79;   267.68;   323.58
1B;2025-09-20 19:48:32;  9.59;  6.92;   233.46;   272.00;   310.45
